"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Tumball","Standalone","For Sale","N/A","N/A","N/A","N/A","Blue Orange Games","1901","N/A","N/A",5,"264259","720882","09084","2024-00-00","",""
"Slingz","Standalone","For Sale","N/A","N/A","N/A","N/A","Blue Orange Games","1901","N/A","N/A",6,"419421","710933","09082","2024-04-00","",""
"Red Lolly Yellow Lolly","Standalone","For Sale","N/A","N/A","N/A","N/A","Blue Orange Games","1901","N/A","N/A",2,"424869","720883","09078","2024-00-00","",""
"Dodos Riding Dinos: Dodo Dash","Standalone","For Sale","USD",50,"N/A","N/A","Draco Studios","905","N/A","N/A",106,"363278","615641","","2024-03-01","",""
"Cosmic Cow Collectors","Standalone","For Sale","USD",25,"N/A","N/A","Draco Studios","905","N/A","N/A",75,"274784","448447","","2024-03-01","",""
"Pátzcuaro","Standalone","For Sale","USD",25,"N/A","N/A","Draco Studios","905","N/A","N/A",92,"267010","701398","DAO-18140","2024-03-01","",""
"Neuroriders","Standalone","For Sale","USD",25,"N/A","N/A","Draco Studios","905","N/A","N/A",165,"350992","587235","","2024-03-01","",""
"War For Chicken Island","Standalone","For Sale","USD",70,"N/A","N/A","Draco Studios","905","N/A","N/A",73,"261898","700292","DAO-41102","2024-03-01","",""
"Party Panda Pirates","Standalone","Demo","N/A","N/A","N/A","N/A","Draco Studios","905","N/A","N/A",85,"365119","620128","","2024-12-00","",""
"Dragonbond: Lords of Vaala – Armies of Blood and Dreams","Standalone","Demo","N/A","N/A","N/A","N/A","Draco Studios","905","N/A","N/A",56,"412763","699406","DAO-DB-LOV-103EN","2024-12-00","",""
"Dragonbond: Battles of Valerna","Standalone","Demo","N/A","N/A","N/A","N/A","Draco Studios","905","N/A","N/A",48,"360800","607617","","2024-12-00","",""
"Dodos Riding Dinos: First Race","Standalone","Demo","N/A","N/A","N/A","N/A","Draco Studios","905","N/A","N/A",125,"420975","713810","","0000-00-00","Q2 2025",""
"Forest Shuffle: Alpine Expansion","Expansion","For Sale","USD",13,"N/A","N/A","Lookout Games","809 (Asmodee)","N/A","N/A",230,"412576","699151","LOG0185","2024-06-00","",""
"Gateway Island","Standalone","For Sale","USD",25,"N/A","N/A","Van Ryder Games","2533","N/A","N/A",52,"356999","712716","","2024-08-00","",""
"Garden Guests","Standalone","For Sale","USD",40,"N/A","N/A","Van Ryder Games","2533","N/A","N/A",42,"392825","668317","","2023-12-00","",""
"Final Girl: The North Pole Nightmare","Expansion","For Sale","USD",30,"N/A","N/A","Van Ryder Games","2533","N/A","N/A",77,"401763","681652","","2023-12-00","",""
"Kemet: Rise of the Gods","Expansion","Demo","N/A","N/A","N/A","N/A","Matagot","2211","N/A","N/A",33,"419158","710419","","2025-00-00","Q1 2025",""
"Kyoto no Neko","Standalone","Demo","N/A","N/A","N/A","N/A","Matagot","2211","N/A","N/A",62,"417155","711034","","2024-10-01","",""
"ContraBanter","Standalone","For Sale","USD",20,"N/A","N/A","Skybound Tabletop","2438","N/A","N/A",16,"413085","699902","","2024-06-12","",""
"Creepshow: The Suspense-Building Game","Standalone","For Sale","USD",20,"N/A","N/A","Skybound Tabletop","2438","N/A","N/A",27,"422535","716806","","2024-09-18","",""
"Ultimate Dibs","Standalone","For Sale","USD",20,"N/A","N/A","Skybound Tabletop","2438","N/A","N/A",29,"413411","700385","","2024-11-13","",""
"Mind Up!","Standalone","For Sale","USD",15,"N/A","N/A","Pandasaurus Games","215","N/A","N/A",33,"377515","681000","","2024-03-13","",""
"Faraway","Standalone","For Sale","USD",25,"N/A","N/A","Pandasaurus Games","215","N/A","N/A",144,"385761","680999","","2024-05-00","",""
"Bullet Paw","Expansion","Demo","N/A","N/A","N/A","N/A","Level 99 Games","621","N/A","N/A",6,"404273","686160","L99-BLT04","2024-08-00","",""
"Bullet Palette","Expansion","Demo","N/A","N/A","N/A","N/A","Level 99 Games","621","N/A","N/A",5,"404274","686161","L99-BLT05","2024-08-00","",""
"Gibberers","Standalone","For Sale","USD",20,"N/A","N/A","Hobby Japan","108","N/A","N/A",1,"380109","722533","","2024-00-00","",""
"Black Rose Wars: Duel – Lex","Standalone","For Sale","USD",35,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",6,"395907","673094","","2024-06-00","",""
"Black Rose Wars: Rebirth – Deadly Masks","Expansion","For Sale","USD",30,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",4,"414161","705615","","2024-03-00","",""
"Black Rose Wars: Rebirth – Seal of Fire","Expansion","For Sale","USD",35,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",3,"413560","700630","","2024-03-00","",""
"Black Rose Wars: Rebirth – Jukas","Expansion","For Sale","USD",15,"N/A","N/A","Ludus Magnus Studio","2954","N/A","N/A",4,"413564","700636","","2024-03-00","",""
